기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요
20170101,20170101,찻날부터 저  드런 목소리 들어야하네 재수 옴붙겠어 ..,1346,25
20170101,20170101,저정도면 싸이코패스에 가까운듯. 304명이 죽어가고 있었던 시간에 아무일도 하지않고서 뭐라?  할 일을 다 했다고? 싸이코패스 아니고 뭐냐?,1256,17
20170101,20170101,종편 새누리 언론과 손잡고 바락을 하는구나~~~ 쪽팔린  줄이나 알아라 종편언론,481,13
20170101,20170101,정신감정을 조심스럽게 부탁합니다,580,11
20170101,20170101,너도모르면 대체 누가알아?,2440,51
20170101,20170101,정신질환이 심각하다.,7449,157
20170101,20170101,진실을 막을려고 하니 무엇이 거짓이고 무엇이 진실인지 헤갈리지?? 쓰레기보다 못한 년,1582,31
20170101,20170101,미친ㄴ,486,10
20170101,20170101,진짜 너는 인간이 아닌듯.,426,8
20170101,20170101,지금 이 사태가 상식적으로 설명이 되냐?,642,10
20170101,20170101,ㅁ친년.  새해부터 거지같은 기사를 내보내네,455,9
20170101,20170101,믿을게 트ㅏ로있지 니말을 믿냐? 정신병자,1835,43
20170101,20170101,주댕이를.......뻔뻔  스런  여자....,1810,44
20170101,20170101,사람아냐 진짜...,9094,207
20170101,20170101,인간이 소름끼치게 싫다,2232,44
20170101,20170101,18... 이젠 욕도 않나온다 ㅆ ㄴ 아!!,536,12
20170101,20170101,슬슬  막장드라마  마지막편이  다가오는것같아서리   너무 기대되네요   아주  용을씁니다   막장드라마  악역담당들이  하는것봤죠    슬슬   쫑파티준비합시다,261,7
20170101,20170101,당연하지. 니가 전하는 말.구라치는거 알아.,2192,48
20170101,20170101,아..저  말이 안나오네..정말,582,10
20170101,20170101,패트를 오보라고 우기니 ... 참 기가찬다 ... 그 입 다물라,598,11
20170101,20170101,그냥 아니다만 해도  믿어주는 친박 팬클럽을 위한 발언이였다.,368,14
20170101,20170101,지랄도 풍년이다! 이쯤되면 막기자는 거네...,846,23
20170101,20170101,돈받은 만큼 일했다는 거네  월 2000만원 받는다면서,1673,42
20170101,20170101,새해 부터 쉰소리 하네..누가 믿을거라고 ..감방갔어 수감자들 한테 이야기 하시요..난죄없다고...아주 몰매 맞아 디질껄 ..,648,25
20170101,20170101,그래 ᆢ 변명은 늦었다고 던해라,1944,43
20170101,20170101,감옥 정신병동에 수용해야할듯,8223,173
20170101,20170101,대통령이라는것도 부인하믄된다,364,14
20170101,20170101,정말  쌍욕을 부르는 여자구나....  시장에 불 질러 놓고 상인 소방 교육한거라고 우길 여자군.,409,16
20170101,20170101,정신감정부터 해봐야된다.,804,24
20170101,20170101,ㅁㅊㄴ,1570,43
20170101,20170101,박근혜대통령  오직 자기만 살려고 자기에 지시받은 사람을 헌신짝처럼 버리는군요. 박근혜대통령 거짓말죄로 천벌받을것입니다.,2523,55
20170101,20170101,세월호만 생각하면 이년 머리를 빡빡 깍이고 옷을 홀랑 벗겨 추한 몸뚱아리를 그대로 드러내 놓고 코뚜레를 뚫어 청와대에서 광화문까지 질질 끌고 와서 이순신장군상 앞에 묶어놓고 돌팔매질로 쳐죽여야 한다.,755,28
20170101,20170101,확실히 치매걸린게 맞는것 같다!!,1648,46
20170101,20170101,약에 완전 취해있구만 에휴.. 총살시켜라,1997,51
20170101,20170101,오늘은 1월1일이다 ~~새해첫날부터 재수없게 머하는짓인지~~,404,15
20170101,20170101,세월호 침몰전  7시간 행적 2년  넘도록 아무말  못하더니 새해가 되니 빠끄네  구미호가   궤변과 꼼수를 부리기 시작하네,883,24
20170101,20170101,이번 달 안에 탄핵 결정 되는거 맞죠?,1843,49
20170101,20170101,정신이온전치못해..쫌심해..,1933,45
20170101,20170101,구속이  답이다 ㆍ새해 첫날 뭘 잘했다고  떠들어 대는지 정말 멍 스럽다,8887,172
