,text
196,"당신말은 맞을지 몰라도
당신의 행동은 틀렸어요
그래서 문재인 대통령이
그걸 몰라서 계속 남인계신게
아닙니다 다른 의원들도요
그래도 누군가는 계속 싸워야
하니까요 완벽할순 없지만
그래도 싸워야 되는거에요
민주주의는 그래서 힘든거에요
당신은 그냥 혼자 편하려고
도망친 것 뿐입니다
포장하지 마시길"
197,여애 모두 이런분의 말에 귀담고  스스로 반성도 하면서 옮바른 정치가 이루어졌으면 합니다
198,정당한 민원도  그닥 소비자편이  아니던데  저런사람들은  어찌저렇게잘하지?
199,아무튼 한국은 목소리 큰 사람이 이긴다는 무지의 소치가 불문율처럼 만연해있다. 에휴..
200,남의 눈에 눈물 쏟게 만들면 그 곱절로  당하게 될지어다.
201,경찰 부르면 되지 뭘 어르고 달래고 있어 ㅡㅡ
202,진상을 받아주니 진상들이 계속 늘어나지
203,"항의하면 돈주고 안 하면 생깐다는...
뭐 그런 기사네"
204,약관도 모르냐 뭔 말도 안되는..상품권을 왜 줘? 이해불가.
205,정말 금감원이 무슨 프리패스인줄 아는 인면수심 인간들이 참 많다. 본인이 가입하고 약관에 다 나와있는데 안읽은 걸 자랑처럼 떠벌리는 인간들. 부끄러운줄 알아야지
206,울어야 젖주는거구만🤔
207,"따진다고 사비로 500을 줘??

저게 가짜기사이거나 
고객이 환매하라고 했지만 증권사직원이 더 가져가라고 우겼거나..
두가지 경우중 하나일듯.."
